time,ax,ay,az,aT
9.5550,-0.0139,0.0016,-0.1653,0.166
9.5750,-0.0497,-0.0471,-0.1075,0.127
9.5940,-0.0832,0.0053,-0.0943,0.126
9.6120,-0.0250,0.0102,-0.1978,0.200
9.6320,-0.0718,0.0010,-0.1051,0.127
9.6510,-0.0371,-0.0309,-0.0774,0.091
9.6710,-0.0761,0.0106,-0.1773,0.193
9.6880,-0.0998,-0.0193,-0.0714,0.124
9.7080,-0.0416,-0.0204,-0.2074,0.212
9.7270,-0.0646,0.0103,-0.1292,0.145
9.7460,-0.0456,-0.0040,-0.1051,0.115
9.7650,-0.0350,-0.0369,-0.1809,0.188
9.7970,-0.1057,-0.0344,-0.1473,0.184
9.8040,-0.0229,0.0428,-0.0595,0.077
9.8220,-0.1012,-0.0072,-0.1136,0.152
9.8420,-0.0404,-0.0001,-0.2110,0.215
9.8610,-0.0320,-0.0085,-0.0654,0.073
9.8870,-0.0229,-0.0345,-0.1497,0.155
9.8980,-0.0471,-0.0131,-0.1762,0.183
9.9170,-0.0730,0.0035,-0.1364,0.155
9.9370,-0.0802,-0.0047,-0.1413,0.163
9.9560,-0.0066,-0.0106,-0.1425,0.143
9.9730,-0.1110,0.0014,-0.1208,0.164
